ID,SVET,LVET,LAT,LON,HEIGHT,HEIGHT WRT DEM,SIGMA HEIGHT,COHER
14138,686,1754,45.512297,11.166377,0.7,0.7,1.7454541,0.98
3384,1053,786,45.489203,11.206434,0.8,0.8,1.911704,0.85
5464,906,938,45.491779,11.192238,0.8,0.8,1.8893098,0.84
5975,914,983,45.493149,11.192599,0.8,0.8,1.8676815,0.81
7594,936,1138,45.497799,11.193351,0.8,0.8,1.8416564,0.85
8013,354,1185,45.492235,11.141176,0.8,0.8,1.8753956,0.8
8766,324,1265,45.494144,11.137871,0.8,0.8,1.8286247,0.88
9571,1017,1347,45.504672,11.198912,0.8,0.8,1.9306329,0.81
9874,1010,1379,45.505496,11.198044,0.8,0.8,1.9873168,0.84
13109,652,1671,45.509544,11.163994,0.8,0.8,1.7549021,0.95
13817,660,1727,45.511225,11.164272,0.8,0.8,1.7430582,0.99
13874,706,1732,45.511911,11.168327,0.8,0.8,1.7544593,0.97
14261,644,1764,45.512083,11.162562,0.8,0.8,1.7639388,0.97
17351,672,2070,45.521083,11.162683,0.8,0.8,1.7468221,0.97
4820,374,895,45.484259,11.145215,0.9,0.9,1.8228259,0.88
6798,303,1056,45.487973,11.137617,0.9,0.9,1.8971079,0.82
8465,1046,1236,45.501869,11.202339,0.9,0.9,1.958884,0.79
9944,308,1387,45.497409,11.135495,0.9,0.9,1.9131623,0.83
10621,1014,1455,45.507697,11.197813,0.9,0.9,1.9882365,0.76
11368,834,1521,45.507446,11.18134,0.9,0.9,1.8776278,0.87
12806,631,1648,45.508643,11.162305,0.9,0.9,1.8014732,0.89
13373,634,1693,45.509954,11.162223,0.9,0.9,1.8404306,0.93
13426,306,1697,45.506167,11.13291,0.9,0.9,1.9400769,0.84
13592,575,1710,45.509736,11.156834,0.9,0.9,1.8619518,0.91
13771,678,1723,45.511325,11.165908,0.9,0.9,1.786467,0.95
13863,689,1731,45.511682,11.166825,0.9,0.9,1.8086625,0.92
13923,684,1736,45.511764,11.166342,0.9,0.9,1.7424005,0.98
13931,654,1737,45.511437,11.163663,0.9,0.9,1.7418311,0.99
14073,661,1749,45.51186,11.164193,0.9,0.9,1.7416029,0.98
14392,609,1774,45.511952,11.159369,0.9,0.9,1.7552485,0.93
4834,860,896,45.490048,11.188486,1,1,1.8405838,0.85
4990,812,906,45.489765,11.184149,1,1,1.9639599,0.83
5221,897,919,45.491136,11.191592,1,1,2.0277655,0.78
8789,945,1266,45.501531,11.193163,1,1,1.9405125,0.8
12377,652,1613,45.507901,11.164447,1,1,1.7553829,0.95
12791,168,1647,45.503102,11.120938,1,1,1.9737751,0.78
12961,723,1660,45.510073,11.170401,1,1,1.7938138,0.95
13569,656,1708,45.51064,11.164069,1,1,1.7347091,0.97
13690,652,1717,45.510847,11.163643,1,1,1.9311609,0.85
13752,638,1722,45.510823,11.162356,1,1,1.7678274,0.97
13958,658,1740,45.51157,11.163997,1,1,1.7446907,0.99
4880,514,899,45.486038,11.157687,1.1,1.1,1.8370007,0.88
5169,899,916,45.491075,11.191794,1.1,1.1,1.9741443,0.83
6605,308,1038,45.487523,11.138208,1.1,1.1,1.9185755,0.84
6846,308,1061,45.488175,11.138031,1.1,1.1,1.8684842,0.76
8043,453,1189,45.493528,11.149994,1.1,1.1,1.8126012,0.88
8528,1037,1243,45.501962,11.201492,1.1,1.1,1.9574609,0.82
13568,649,1708,45.510557,11.163447,1.1,1.1,2.031817,0.89
13768,654,1723,45.511041,11.163775,1.1,1.1,1.7440035,0.98
13900,691,1734,45.511791,11.166985,1.1,1.1,1.7535508,0.97
13974,692,1741,45.512001,11.16702,1.1,1.1,1.7528388,0.95
14972,619,1821,45.513403,11.159899,1.1,1.1,1.8940951,0.85
4080,1046,840,45.490651,11.205406,1.2,1.2,1.9198529,0.81
11598,524,1544,45.504429,11.153579,1.2,1.2,1.8249243,0.89
12185,295,1594,45.503119,11.132731,1.2,1.2,1.8781456,0.84
13400,572,1695,45.509276,11.156689,1.2,1.2,1.7868167,0.95
9143,954,1301,45.502629,11.193695,1.3,1.3,1.8796377,0.85
13829,643,1728,45.511053,11.162761,1.3,1.3,1.7385641,0.99
